text,clean_text,date
The singles final on the court had long returns and a dramatic victory. tennis set.,singles final court long returns dramatic victory tennis set,2021-08-01
The doubles match featured great baseline shots and strong movement on the center court. court set.,doubles match featured great baseline shots strong movement center court court set,2021-07-23
A strong teamwork in the last final minutes helped the women team secure the important victory. team court.,strong teamwork last final minutes helped women team secure important victory team court,2021-07-27
A strong performance in the freestyle race helped secure a silver medal for the team. lane freestyle.,strong performance freestyle race helped secure silver medal team lane freestyle,2021-07-26
The team delivered a steady floor routine during the all around final final. medal arena.,team delivered steady floor routine all around final final medal arena,2021-07-29
The closing ceremony created a strong sense of excitement with music and national national colors. crowd celebration.,closing ceremony created strong sense excitement music national national colors crowd celebration,2021-07-25
The player stayed calm in the final set and earned a medal. rally set.,player stayed calm final set earned medal rally set,2021-07-25
The pool final heat in the aquatic center was exciting and the team won a bronze medal. pool medal.,pool final heat aquatic center exciting team won bronze medal pool medal,2021-08-04
The phone battery died during a long day and I missed several messages online.,phone battery died long day i missed several messages online,2021-07-30
The stadium celebration in the stadium included a parade of teams and a beautiful fireworks. team flag.,stadium celebration stadium included parade teams beautiful fireworks team flag,2021-07-29
The athlete dominated the butterfly final in the aquatic center and earned a silver medal. butterfly lane.,athlete dominated butterfly final aquatic center earned silver medal butterfly lane,2021-07-28
The closing ceremony created a strong sense of excitement with music and national national colors. stadium performance.,closing ceremony created strong sense excitement music national national colors stadium performance,2021-07-28
The pool final final in the aquatic center was exciting and the team won a bronze medal. gold freestyle.,pool final final aquatic center exciting team won bronze medal gold freestyle,2021-08-03
An amazing fast finish in the 400m race brought a gold medal to the team. stadium relay.,amazing fast finish m race brought gold medal team stadium relay,2021-08-04
The freestyle race heat in the aquatic center was exciting and the team won a gold medal. lane medal.,freestyle race heat aquatic center exciting team won gold medal lane medal,2021-08-03
An amazing strong comeback in the 100m sprint brought a bronze medal to the team. sprint final.,amazing strong comeback m sprint brought bronze medal team sprint final,2021-07-25
A powerful baseline shots helped the player win the quarterfinal round. win serve.,powerful baseline shots helped player win quarterfinal round win serve,2021-07-31
An amazing fast finish in the relay race brought a gold medal to the team. sprint medal.,amazing fast finish relay race brought gold medal team sprint medal,2021-08-04
The team delivered a steady balance sequence during the gymnastics final qualification round. arena balance.,team delivered steady balance sequence gymnastics final qualification round arena balance,2021-07-28
An amazing strong comeback in the 100m sprint brought a silver medal to the team. race relay.,amazing strong comeback m sprint brought silver medal team race relay,2021-07-28
The runner led the relay race from the start and finished with a fast finish. stadium relay.,runner led relay race start finished fast finish stadium relay,2021-08-01
The opening ceremony created a strong sense of celebration with music and national crowd energy. performance celebration.,opening ceremony created strong sense celebration music national crowd energy performance celebration,2021-07-28
The player stayed calm in the final game and earned a podium place. medal player.,player stayed calm final game earned podium place medal player,2021-07-31
The gymnast improved the result after an excellent floor routine in the vault event. beam balance.,gymnast improved result excellent floor routine vault event beam balance,2021-07-30
The opening ceremony in the main arena included a light show and a beautiful fireworks. closing music.,opening ceremony main arena included light show beautiful fireworks closing music,2021-07-26
The team delivered a steady vault landing during the vault event final. medal team.,team delivered steady vault landing vault event final medal team,2021-08-04
A beautiful vault landing in beam event impressed the judges and led to a podium finish. routine arena.,beautiful vault landing beam event impressed judges led podium finish routine arena,2021-07-25
The player stayed calm in the final set and earned a medal. rally player.,player stayed calm final set earned medal rally player,2021-07-30
An amazing fast finish in the 400m race brought a bronze medal to the team. final heat.,amazing fast finish m race brought bronze medal team final heat,2021-07-23
A beautiful vault landing in all around final impressed the judges and led to a podium finish. beam final.,beautiful vault landing all around final impressed judges led podium finish beam final,2021-08-01
An amazing fast finish in the 100m sprint brought a bronze medal to the team. relay race.,amazing fast finish m sprint brought bronze medal team relay race,2021-07-29
The crowd reacted loudly during the relay race heat in the track stadium. final runner.,crowd reacted loudly relay race heat track stadium final runner,2021-07-24
A strong performance in the swimming relay helped secure a gold medal for the team. butterfly lane.,strong performance swimming relay helped secure gold medal team butterfly lane,2021-07-27
A powerful baseline shots helped the player win the tennis match final. rally tennis.,powerful baseline shots helped player win tennis match final rally tennis,2021-07-27
The stadium celebration created a strong sense of celebration with music and national national colors. flag closing.,stadium celebration created strong sense celebration music national national colors flag closing,2021-08-03
The basketball team controlled the second half with solid teamwork and earned the final score. court offense.,basketball team controlled second half solid teamwork earned final score court offense,2021-07-31
The athlete dominated the pool final in the aquatic center and earned a silver medal. medal pool.,athlete dominated pool final aquatic center earned silver medal medal pool,2021-07-29
The stadium looked amazing during the stadium celebration and the dance performance was memorable. celebration performance.,stadium looked amazing stadium celebration dance performance memorable celebration performance,2021-07-27
The gymnast improved the result after an excellent vault landing in the gymnastics final. team arena.,gymnast improved result excellent vault landing gymnastics final team arena,2021-08-01
A strong teamwork in the last final minutes helped the women team secure the final score. quarter score.,strong teamwork last final minutes helped women team secure final score quarter score,2021-07-25
The quarterfinal featured great serve and strong movement on the center court. player tennis.,quarterfinal featured great serve strong movement center court player tennis,2021-07-26
The player stayed calm in the final set and earned a podium place. court rally.,player stayed calm final set earned podium place court rally,2021-07-24
The gymnast improved the ranking after an excellent balance sequence in the all around final. team medal.,gymnast improved ranking excellent balance sequence all around final team medal,2021-08-04
An amazing record time in the track final brought a gold medal to the team. track runner.,amazing record time track final brought gold medal team track runner,2021-07-30
The doubles match on the court had long rallies and a dramatic comeback. court serve.,doubles match court long rallies dramatic comeback court serve,2021-07-23
Fans celebrated the silver medal after the swimming relay semifinal ended with a new fast finish. record butterfly.,fans celebrated silver medal swimming relay semifinal ended new fast finish record butterfly,2021-08-04
The coach praised the men team after the final on the arena. defense basketball.,coach praised men team final arena defense basketball,2021-07-29
A beautiful balance sequence in all around final impressed the judges and led to a team medal. balance vault.,beautiful balance sequence all around final impressed judges led team medal balance vault,2021-07-30
The crowd reacted loudly during the 100m sprint final in the stadium. heat race.,crowd reacted loudly m sprint final stadium heat race,2021-07-31
The stadium celebration in the stadium included a dance performance and a beautiful national colors. opening closing.,stadium celebration stadium included dance performance beautiful national colors opening closing,2021-08-03
The stadium looked amazing during the opening ceremony and the parade of teams was memorable. team crowd.,stadium looked amazing opening ceremony parade teams memorable team crowd,2021-08-04
Weather in the city changed quickly and many people talked about transport issues.,weather city changed quickly many people talked about transport issues,2021-08-03
The gymnast improved the score after an excellent floor routine in the all around final. final arena.,gymnast improved score excellent floor routine all around final final arena,2021-07-31
A powerful baseline shots helped the player win the tennis match final. set player.,powerful baseline shots helped player win tennis match final set player,2021-08-03
The women team controlled the second half with solid teamwork and earned the win. defense offense.,women team controlled second half solid teamwork earned win defense offense,2021-08-03
A strong performance in the butterfly final helped secure a silver medal for the team. freestyle pool.,strong performance butterfly final helped secure silver medal team freestyle pool,2021-07-28
Food near the venue was expensive but the coffee was still good in the morning.,food near venue expensive but coffee still good morning,2021-08-04
Fans celebrated the bronze medal after the pool final semifinal ended with a new fast finish. swimming freestyle.,fans celebrated bronze medal pool final semifinal ended new fast finish swimming freestyle,2021-07-23
The doubles match featured great serve and strong movement on the center court. set rally.,doubles match featured great serve strong movement center court set rally,2021-07-23
The closing ceremony created a strong sense of excitement with music and national national colors. celebration crowd.,closing ceremony created strong sense excitement music national national colors celebration crowd,2021-08-04
The basketball team showed great ball movement in the final and closed the game with a big win. final offense.,basketball team showed great ball movement final closed game big win final offense,2021-07-29
The basketball team controlled the final minutes with solid defense and earned the win. court offense.,basketball team controlled final minutes solid defense earned win court offense,2021-07-24
The national team showed great ball movement in the final and closed the game with a big win. basketball coach.,national team showed great ball movement final closed game big win basketball coach,2021-08-03
The main arena looked amazing during the closing ceremony and the parade of teams was memorable. ceremony team.,main arena looked amazing closing ceremony parade teams memorable ceremony team,2021-08-03
Fans enjoyed the light show during the stadium celebration as the crowd energy filled the stadium. stadium crowd.,fans enjoyed light show stadium celebration crowd energy filled stadium stadium crowd,2021-08-02
A strong ball movement in the last second half helped the national team secure the important victory. final basketball.,strong ball movement last second half helped national team secure important victory final basketball,2021-08-03
The athlete dominated the swimming relay in the aquatic center and earned a gold medal. lane final.,athlete dominated swimming relay aquatic center earned gold medal lane final,2021-08-02
Fans celebrated the gold medal after the butterfly final heat ended with a new fast finish. relay medal.,fans celebrated gold medal butterfly final heat ended new fast finish relay medal,2021-08-04
The gymnast improved the ranking after an excellent beam routine in the gymnastics final. arena beam.,gymnast improved ranking excellent beam routine gymnastics final arena beam,2021-08-04
The closing ceremony in the stadium included a light show and a beautiful crowd energy. opening music.,closing ceremony stadium included light show beautiful crowd energy opening music,2021-07-26
The 400m race at the stadium ended with a thrilling final and a silver medal. sprint race.,m race stadium ended thrilling final silver medal sprint race,2021-08-01
A strong performance in the freestyle race helped secure a gold medal for the team. medal freestyle.,strong performance freestyle race helped secure gold medal team medal freestyle,2021-08-01
The player stayed calm in the final set and earned a medal. win court.,player stayed calm final set earned medal win court,2021-07-25
The gymnast improved the result after an excellent balance sequence in the all around final. balance score.,gymnast improved result excellent balance sequence all around final balance score,2021-08-01
Fans enjoyed the music show during the closing ceremony as the national colors filled the main arena. flag crowd.,fans enjoyed music show closing ceremony national colors filled main arena flag crowd,2021-07-28
The runner led the track final from the start and finished with a strong comeback. race track.,runner led track final start finished strong comeback race track,2021-08-04
Fans enjoyed the parade of teams during the opening ceremony as the national colors filled the stadium. celebration performance.,fans enjoyed parade teams opening ceremony national colors filled stadium celebration performance,2021-08-02
The internet connection in my room was weak and video uploads took forever.,internet connection my room weak video uploads took forever,2021-08-02
The vault event qualification round featured a clean vault landing and a strong result. final score.,vault event qualification round featured clean vault landing strong result final score,2021-08-01
A beautiful beam routine in all around final impressed the judges and led to a podium finish. vault medal.,beautiful beam routine all around final impressed judges led podium finish vault medal,2021-07-25
A strong offense in the last quarter helped the national team secure the final score. team win.,strong offense last quarter helped national team secure final score team win,2021-07-31
The vault event qualification round featured a clean vault landing and a strong ranking. beam balance.,vault event qualification round featured clean vault landing strong ranking beam balance,2021-07-29
The opening ceremony created a strong sense of excitement with music and national crowd energy. stadium celebration.,opening ceremony created strong sense excitement music national crowd energy stadium celebration,2021-07-27
The player stayed calm in the final set and earned a medal. match player.,player stayed calm final set earned medal match player,2021-07-28
The closing ceremony in the main arena included a parade of teams and a beautiful crowd energy. ceremony closing.,closing ceremony main arena included parade teams beautiful crowd energy ceremony closing,2021-07-24
The singles final on the court had long returns and a dramatic victory. player serve.,singles final court long returns dramatic victory player serve,2021-07-30
The pool final final in the pool was exciting and the team won a silver medal. freestyle swimming.,pool final final pool exciting team won silver medal freestyle swimming,2021-07-26
The main arena looked amazing during the closing ceremony and the light show was memorable. opening performance.,main arena looked amazing closing ceremony light show memorable opening performance,2021-08-04
The stadium celebration in the stadium included a dance performance and a beautiful crowd energy. stadium performance.,stadium celebration stadium included dance performance beautiful crowd energy stadium performance,2021-08-04
The stadium looked amazing during the opening ceremony and the parade of teams was memorable. closing opening.,stadium looked amazing opening ceremony parade teams memorable closing opening,2021-07-31
The singles final featured great baseline shots and strong movement on the center court. final medal.,singles final featured great baseline shots strong movement center court final medal,2021-07-31
The team delivered a steady floor routine during the gymnastics final final. gymnastics score.,team delivered steady floor routine gymnastics final final gymnastics score,2021-08-01
The stadium celebration in the stadium included a music show and a beautiful national colors. stadium closing.,stadium celebration stadium included music show beautiful national colors stadium closing,2021-08-04
The team delivered a steady balance sequence during the all around final final. routine score.,team delivered steady balance sequence all around final final routine score,2021-08-04
A strong teamwork in the last second half helped the national team secure the important victory. offense win.,strong teamwork last second half helped national team secure important victory offense win,2021-08-02
The athlete dominated the freestyle race in the aquatic center and earned a gold medal. relay butterfly.,athlete dominated freestyle race aquatic center earned gold medal relay butterfly,2021-07-30
The gymnastics final final featured a clean vault landing and a strong score. beam routine.,gymnastics final final featured clean vault landing strong score beam routine,2021-07-30
The opening ceremony created a strong sense of unity with music and national fireworks. stadium flag.,opening ceremony created strong sense unity music national fireworks stadium flag,2021-07-26
The player stayed calm in the final game and earned a podium place. medal match.,player stayed calm final game earned podium place medal match,2021-07-27
"Some visitors discussed cameras, tickets, maps, and lost bags outside the station.",some visitors discussed cameras tickets maps lost bags outside station,2021-07-25
The quarterfinal on the center court had long serve and a dramatic comeback. match final.,quarterfinal center court long serve dramatic comeback match final,2021-07-25
The tennis match featured great baseline shots and strong movement on the center court. rally court.,tennis match featured great baseline shots strong movement center court rally court,2021-07-30
The runner led the 400m race from the start and finished with a strong comeback. race final.,runner led m race start finished strong comeback race final,2021-08-02
A strong performance in the freestyle race helped secure a bronze medal for the team. final gold.,strong performance freestyle race helped secure bronze medal team final gold,2021-07-27
An amazing strong comeback in the track final brought a bronze medal to the team. record final.,amazing strong comeback track final brought bronze medal team record final,2021-07-31
The main arena looked amazing during the opening ceremony and the music show was memorable. team crowd.,main arena looked amazing opening ceremony music show memorable team crowd,2021-07-30
Travel delays and hotel check in problems made the day more stressful than expected.,travel delays hotel check problems made day more stressful than expected,2021-07-29
A strong performance in the swimming relay helped secure a bronze medal for the team. swimming medal.,strong performance swimming relay helped secure bronze medal team swimming medal,2021-07-26
The gymnast improved the result after an excellent balance sequence in the beam event. team routine.,gymnast improved result excellent balance sequence beam event team routine,2021-07-30
The crowd reacted loudly during the track final final in the stadium. track record.,crowd reacted loudly track final final stadium track record,2021-07-28
An amazing fast finish in the 100m sprint brought a bronze medal to the team. runner track.,amazing fast finish m sprint brought bronze medal team runner track,2021-07-28
The relay race at the track stadium ended with a thrilling heat and a bronze medal. relay sprint.,relay race track stadium ended thrilling heat bronze medal relay sprint,2021-08-03
A strong teamwork in the last quarter helped the women team secure the important victory. team offense.,strong teamwork last quarter helped women team secure important victory team offense,2021-07-30
The coach praised the national team after the group match on the arena. quarter final.,coach praised national team group match arena quarter final,2021-08-04
The coach praised the national team after the group match on the court. defense score.,coach praised national team group match court defense score,2021-07-28
The women team controlled the final minutes with solid ball movement and earned the final score. defense coach.,women team controlled final minutes solid ball movement earned final score defense coach,2021-08-03
The opening ceremony created a strong sense of excitement with music and national fireworks. performance stadium.,opening ceremony created strong sense excitement music national fireworks performance stadium,2021-07-26
The all around final qualification round featured a clean balance sequence and a strong result. routine score.,all around final qualification round featured clean balance sequence strong result routine score,2021-08-03
The opening ceremony in the stadium included a dance performance and a beautiful fireworks. stadium music.,opening ceremony stadium included dance performance beautiful fireworks stadium music,2021-07-27
The stadium celebration created a strong sense of excitement with music and national fireworks. team closing.,stadium celebration created strong sense excitement music national fireworks team closing,2021-07-25
An amazing strong comeback in the track final brought a silver medal to the team. race heat.,amazing strong comeback track final brought silver medal team race heat,2021-07-31
The internet connection in my room was weak and video uploads took forever.,internet connection my room weak video uploads took forever,2021-07-30
The pool final semifinal in the aquatic center was exciting and the team won a bronze medal. pool swimming.,pool final semifinal aquatic center exciting team won bronze medal pool swimming,2021-07-29
The tennis match featured great baseline shots and strong movement on the center court. player medal.,tennis match featured great baseline shots strong movement center court player medal,2021-07-28
The vault event final featured a clean floor routine and a strong score. beam team.,vault event final featured clean floor routine strong score beam team,2021-08-04
The coach praised the men team after the group match on the court. defense coach.,coach praised men team group match court defense coach,2021-07-25
A strong offense in the last quarter helped the women team secure the important victory. quarter offense.,strong offense last quarter helped women team secure important victory quarter offense,2021-07-24
